"recorded_outcome","admission_grade","age"
"Dropout",130,28
"Dropout",125.7,43
"Dropout",128,32
"Enrolled",113.2,20
"Graduate",120,35
"Graduate",117.8,21
"Enrolled",121.3,18
"Graduate",169.7,18
"Graduate",117.7,18
"Graduate",121.8,22
"Graduate",128.3,19
"Graduate",132.2,18
"Dropout",134.3,19
"Graduate",123.4,18
"Dropout",121.7,31
"Graduate",130,33
"Graduate",126.5,19
"Graduate",159.7,18
"Graduate",151.3,23
"Graduate",138,20
"Graduate",126.5,18
"Enrolled",140,21
"Graduate",112.3,22
"Graduate",127.3,20
"Graduate",130,23
"Graduate",115,19
"Graduate",131.5,19
"Dropout",125.7,26
"Graduate",126.8,18
"Dropout",132.4,18
"Graduate",150,20
"Dropout",95,19
"Dropout",128.2,32
"Dropout",130,31
"Enrolled",100,25
"Graduate",159.9,21
"Dropout",100,31
"Dropout",116.5,34
"Graduate",120,18
"Dropout",117,19
"Enrolled",140,21
"Dropout",118.1,18
"Graduate",153.5,20
"Graduate",127.9,20
"Graduate",118.8,18
"Graduate",126.7,19
"Enrolled",170,19
"Dropout",110,30
"Graduate",115,19
"Graduate",119,19
"Graduate",121.8,19
"Graduate",133.4,19
"Graduate",131.4,20
"Dropout",135,25
"Dropout",122.8,19
"Graduate",140,34
"Graduate",125.3,18
"Graduate",126.3,18
"Graduate",100,20
"Graduate",121.3,20
"Enrolled",135,23
"Dropout",120,28
"Enrolled",113.7,18
"Graduate",129.7,19
"Dropout",132.1,34
"Dropout",120.3,35
"Graduate",120,32
"Graduate",123.1,19
"Graduate",119.4,18
"Dropout",140,35
"Enrolled",116.5,24
"Graduate",113,20
"Graduate",133.9,18
"Graduate",115.5,20
"Dropout",116.5,18
"Graduate",171.2,18
"Graduate",119.1,20
"Dropout",121.1,19
"Enrolled",132.9,20
"Graduate",132.8,19
"Graduate",126.7,20
"Graduate",105.8,22
"Enrolled",117.2,18
"Graduate",140,19
"Dropout",120,22
"Graduate",119.5,20
"Dropout",153.9,34
"Dropout",130,24
"Dropout",107,26
"Dropout",132.8,35
"Graduate",127.5,22
"Enrolled",123.3,26
"Dropout",122,19
"Dropout",114.8,19
"Graduate",140,20
"Graduate",111,21
"Graduate",133.2,19
"Graduate",123,18
"Graduate",150,23
"Graduate",132.3,18
"Graduate",126,18
"Graduate",119.3,19
"Graduate",133.8,21
"Graduate",126.5,18
"Graduate",138.4,24
"Dropout",129,18
"Enrolled",118.3,18
"Graduate",129.8,20
"Enrolled",113.6,19
"Dropout",128.3,18
"Dropout",130,19
"Graduate",121.9,19
"Graduate",129.4,18
"Enrolled",115.3,20
"Graduate",125.5,18
"Graduate",117.8,19
"Enrolled",118.7,18
"Graduate",139,18
"Enrolled",98.9,21
"Dropout",137.7,19
"Graduate",113.6,21
"Enrolled",113.4,18
"Graduate",128.5,18
"Graduate",142.8,18
"Dropout",137.7,23
"Enrolled",103.5,20
"Graduate",123.2,18
"Enrolled",126,19
"Enrolled",121.7,27
"Enrolled",142.8,19
"Dropout",120,21
"Graduate",119.3,19
"Graduate",121,21
"Graduate",139.4,18
"Graduate",113.9,20
"Graduate",124.6,18
"Dropout",123.8,18
"Graduate",126.3,18
"Graduate",120.4,18
"Enrolled",120.5,19
"Enrolled",144.9,23
"Graduate",139.9,24
"Graduate",133.3,19
"Graduate",126,18
"Graduate",133.5,19
"Dropout",127.9,19
"Enrolled",105.9,20
"Enrolled",124.3,20
"Dropout",102.5,26
"Dropout",97,36
"Dropout",134.7,19
"Dropout",113.8,27
"Dropout",116.9,18
"Graduate",124,18
"Dropout",117.5,28
"Graduate",154.8,21
"Graduate",141,19
"Dropout",120,26
"Dropout",133.6,20
"Graduate",122,19
"Dropout",120,21
"Graduate",114.2,23
"Graduate",95.5,29
"Graduate",120,20
"Graduate",111.1,18
"Graduate",128.6,19
"Dropout",130,23
"Dropout",111.1,21
"Enrolled",122.7,18
"Graduate",134.4,18
"Dropout",131,21
"Dropout",125,22
"Graduate",106,21
"Dropout",128,32
"Graduate",120,27
"Graduate",134.8,18
"Graduate",112,24
"Dropout",116.1,22
"Dropout",120,22
"Graduate",119.7,19
"Dropout",117.1,19
"Enrolled",112.4,21
"Graduate",131,18
"Graduate",130.9,18
"Dropout",134.9,20
"Graduate",127.1,19
"Graduate",110.2,19
"Graduate",108.7,18
"Enrolled",138,20
"Graduate",147.7,22
"Graduate",123,31
"Graduate",142.8,19
"Enrolled",138.3,18
"Graduate",125.2,18
"Graduate",141.8,21
"Graduate",130.6,18
"Dropout",130,25
"Dropout",100,21
"Graduate",119,19
"Enrolled",124.3,19
"Dropout",122.2,22
"Graduate",150,19
"Dropout",135.5,58
"Graduate",127.3,19
"Graduate",127,23
"Enrolled",126.9,19
"Graduate",127.5,18
"Graduate",122,20
"Dropout",115.8,18
"Graduate",121.6,18
"Graduate",116.4,18
"Dropout",120,24
"Dropout",127.3,18
"Enrolled",123.5,19
"Graduate",125.6,19
"Graduate",118.5,18
"Enrolled",129.5,18
"Graduate",134.6,19
"Graduate",140,22
"Enrolled",133.2,19
"Enrolled",133.5,21
"Graduate",117.9,21
"Graduate",128,18
"Dropout",113.2,20
"Enrolled",122,18
"Graduate",156.9,19
"Enrolled",125.1,18
"Dropout",100,26
"Enrolled",160,19
"Graduate",101,35
"Graduate",121.5,19
"Graduate",126.8,18
"Graduate",132.9,19
"Graduate",134.3,25
"Graduate",120.5,18
"Dropout",144.1,26
"Graduate",100,34
"Dropout",114.8,18
"Dropout",111.9,18
"Dropout",125.4,18
"Dropout",140,20
"Graduate",140,25
"Dropout",127.8,18
"Graduate",131.6,19
"Dropout",119.4,20
"Graduate",129.9,20
"Enrolled",114,20
"Dropout",113.4,19
"Enrolled",117.8,20
"Enrolled",114.3,18
"Enrolled",129.7,19
"Dropout",112,20
"Dropout",140,24
"Graduate",150,20
"Enrolled",122.4,19
"Dropout",150,23
"Enrolled",135,20
"Graduate",116.2,21
"Dropout",120.4,20
"Enrolled",122.9,21
"Graduate",155,18
"Graduate",123.4,18
"Enrolled",124.2,18
"Enrolled",130,20
"Graduate",126.2,18
"Dropout",120.5,19
"Enrolled",123.7,20
"Graduate",122.5,19
"Dropout",139.2,33
"Graduate",131.2,21
"Dropout",120,25
"Dropout",116.7,20
"Dropout",150,22
"Graduate",117.5,39
"Graduate",137.6,21
"Graduate",124.3,19
"Graduate",116,26
"Graduate",121.4,19
"Graduate",142.8,20
"Enrolled",96,25
"Dropout",125,24
"Graduate",126.1,20
"Graduate",155.8,29
"Graduate",116,20
"Dropout",110,20
"Graduate",97.2,24
"Dropout",100,24
"Graduate",140,23
"Graduate",128,20
"Graduate",115.3,19
"Enrolled",150,28
"Graduate",160,20
"Graduate",133.1,18
"Dropout",119,20
"Graduate",156,33
"Enrolled",163.7,35
"Enrolled",130,27
"Dropout",123.1,19
"Enrolled",160,31
"Graduate",136.1,19
"Graduate",132.7,22
"Dropout",128.2,39
"Dropout",126.7,22
"Enrolled",150,47
"Graduate",156.3,19
"Graduate",116.1,19
"Dropout",123.8,19
"Graduate",153,21
"Dropout",140,39
"Graduate",131.9,19
"Enrolled",141.4,20
"Dropout",140,24
"Dropout",115,27
"Graduate",168,29
"Dropout",101.3,20
"Dropout",122.6,21
"Enrolled",141.7,18
"Graduate",132.3,19
"Dropout",111.7,19
"Graduate",98.7,28
"Graduate",140,21
"Dropout",140,23
"Enrolled",100.7,39
"Graduate",133.8,18
"Graduate",100,59
"Enrolled",180,30
"Graduate",130.8,18
"Enrolled",140,41
"Dropout",106.2,27
"Graduate",125.6,18
"Dropout",117.5,20
"Dropout",122.5,32
"Dropout",132.9,19
"Dropout",103,41
"Dropout",107,38
"Dropout",100,35
"Dropout",100,27
"Graduate",131.3,19
"Enrolled",122.2,18
"Dropout",118.4,39
"Dropout",100,37
"Dropout",110,37
"Graduate",100,35
"Graduate",106.2,49
"Graduate",110,52
"Graduate",122.3,18
"Graduate",112.5,30
"Graduate",98.1,21
"Dropout",140.2,20
"Enrolled",143.6,18
"Dropout",134.6,19
"Graduate",126.8,18
"Enrolled",100,20
"Enrolled",130,21
"Graduate",113.6,22
"Enrolled",140,20
"Enrolled",106,20
"Graduate",126.6,19
"Graduate",130.7,18
"Graduate",105.9,21
"Enrolled",137,19
"Dropout",100,37
"Enrolled",114.4,45
"Dropout",120,38
"Dropout",119,55
"Dropout",110,28
"Graduate",120,46
"Graduate",119.8,22
"Dropout",135.6,46
"Enrolled",120.7,28
"Dropout",136.3,18
"Enrolled",164.3,18
"Graduate",149.2,21
"Enrolled",122.5,18
"Dropout",100,34
"Dropout",125,21
"Graduate",131,18
"Graduate",122,20
"Enrolled",131.3,18
"Enrolled",117,21
"Dropout",118,19
"Graduate",126,22
"Dropout",120,23
"Dropout",155.6,19
"Enrolled",122.8,18
"Dropout",127.3,19
"Enrolled",118.4,19
"Enrolled",128.1,19
"Enrolled",99,22
"Graduate",161.2,18
"Dropout",140.9,18
"Dropout",111.1,19
"Graduate",149.9,18
"Enrolled",111.3,21
"Enrolled",121.5,18
"Graduate",120,19
"Dropout",120,27
"Enrolled",130,20
"Graduate",98.9,20
"Graduate",136.3,18
"Enrolled",125.2,18
"Graduate",130,18
"Dropout",141.5,18
"Enrolled",123.9,18
"Graduate",114.5,18
"Dropout",100,37
"Graduate",110.5,36
"Dropout",101,26
"Graduate",121,19
"Dropout",95,24
"Dropout",126.9,19
"Graduate",116.3,20
"Graduate",120,19
"Graduate",123.6,21
"Dropout",150,50
"Dropout",120,47
"Dropout",111.3,24
"Dropout",150,48
"Graduate",123.2,18
"Dropout",130,32
"Dropout",137.9,20
"Dropout",100,24
"Graduate",120,53
"Dropout",131,42
"Graduate",133.8,52
"Enrolled",100,54
"Graduate",150,49
"Graduate",126.4,18
"Graduate",154,37
"Graduate",114.9,21
"Dropout",110,26
"Graduate",149.8,20
"Graduate",117.9,19
"Graduate",165.8,18
"Graduate",127.6,18
"Graduate",123.8,20
"Dropout",126.1,20
"Dropout",119.7,21
"Graduate",121.6,22
"Graduate",100,18
"Dropout",127.6,18
"Graduate",132.5,19
"Enrolled",124.3,19
"Graduate",131,18
"Enrolled",120,27
"Graduate",113.3,20
"Dropout",121.9,20
"Graduate",118.3,20
"Graduate",118.8,19
"Enrolled",129,20
"Graduate",143.3,20
"Enrolled",152.5,20
"Graduate",155.7,27
"Graduate",153.9,18
"Graduate",137.8,18
"Graduate",143.3,18
"Graduate",123.2,20
"Enrolled",138.1,19
"Graduate",140.5,20
"Graduate",130,18
"Dropout",104.8,22
"Graduate",132.5,22
"Enrolled",127.7,25
"Graduate",136.5,19
"Dropout",130,21
"Graduate",190,27
"Graduate",128.5,18
"Dropout",126.6,18
"Dropout",131.6,19
"Graduate",119,35
"Graduate",127.6,23
"Dropout",100,28
"Enrolled",124.5,19
"Enrolled",109.3,19
"Dropout",117.7,20
"Dropout",124.7,21
"Graduate",124.5,18
"Graduate",140.8,22
"Graduate",111.9,21
"Dropout",140,38
"Enrolled",121.2,20
"Dropout",123.8,19
"Dropout",134,24
"Dropout",130.8,19
"Graduate",130.2,19
"Enrolled",123.3,19
"Dropout",147.6,31
"Graduate",113.4,19
"Graduate",133.7,22
"Dropout",128.2,25
"Dropout",161,18
"Dropout",130,30
"Graduate",156.3,18
"Graduate",129.3,18
"Dropout",129.3,18
"Graduate",136.3,18
"Graduate",140,25
"Enrolled",135.9,18
"Dropout",139.7,18
"Enrolled",117,19
"Dropout",105,25
"Graduate",130.5,19
"Enrolled",130,31
"Graduate",131.5,20
"Dropout",100,33
"Enrolled",140,24
"Graduate",130.2,18
"Graduate",133.5,19
"Graduate",133.2,20
"Enrolled",130,33
"Dropout",129,24
"Dropout",100,24
"Graduate",116.5,18
"Graduate",124.2,18
"Graduate",138.8,22
"Graduate",126.4,18
"Graduate",151.9,21
"Dropout",120,38
"Graduate",131.9,29
"Enrolled",130,20
"Dropout",131.7,18
"Graduate",132.5,37
"Graduate",116.5,20
"Dropout",133.9,20
"Dropout",145.4,40
"Enrolled",172,44
"Dropout",111,21
"Graduate",120,21
"Graduate",129.8,18
"Enrolled",118.1,18
"Graduate",130,27
"Dropout",126.3,38
"Dropout",137.8,18
"Enrolled",116.1,19
"Dropout",115.4,18
"Dropout",110,19
"Dropout",97.4,44
"Dropout",130,26
"Dropout",156,24
"Dropout",126.1,27
"Dropout",120,27
"Dropout",105.2,25
"Enrolled",120,21
"Graduate",137.8,19
"Enrolled",134.2,20
"Enrolled",150,20
"Dropout",116,20
"Enrolled",143.4,18
"Enrolled",143.6,19
"Dropout",150,22
"Graduate",118,19
"Graduate",109.3,18
"Graduate",119.3,20
"Dropout",146.3,18
"Graduate",161.5,36
"Graduate",140,19
"Graduate",142.2,21
"Dropout",129.2,26
"Dropout",100,29
"Enrolled",170,26
"Dropout",140,27
"Enrolled",115.2,32
"Enrolled",121.4,23
"Enrolled",134.8,24
"Graduate",136.9,19
"Enrolled",140,25
"Enrolled",112.2,19
"Dropout",148.7,20
"Graduate",133,33
"Dropout",150,35
"Graduate",98,23
"Graduate",122.4,19
"Enrolled",139,21
"Graduate",112,21
"Dropout",143.8,27
"Enrolled",116.1,19
"Dropout",138,28
"Enrolled",110,25
"Dropout",103.5,42
"Graduate",140,27
"Dropout",108.7,23
"Graduate",115.9,18
"Graduate",127.3,26
"Dropout",138.7,18
"Dropout",135.8,29
"Dropout",134.6,22
"Enrolled",118.4,21
"Graduate",132.8,19
"Graduate",155.5,18
"Dropout",132,18
"Dropout",110,40
"Dropout",127.3,20
"Dropout",126,18
"Graduate",130,31
"Graduate",118.8,18
"Dropout",127.6,22
"Dropout",112.1,38
"Dropout",130,33
"Enrolled",111.1,19
"Dropout",121.4,18
"Enrolled",126.8,18
"Graduate",120.6,27
"Graduate",126.5,26
"Graduate",120.2,19
"Dropout",120,44
"Graduate",137.5,19
"Dropout",127.9,20
"Enrolled",140,24
"Graduate",131.8,31
"Graduate",129,25
"Dropout",115.8,19
"Dropout",126.4,18
"Enrolled",130,19
"Enrolled",114.8,19
"Enrolled",138.6,19
"Dropout",112.9,24
"Graduate",111.6,20
"Graduate",152,18
"Graduate",132.6,18
"Enrolled",118.4,21
"Dropout",120,28
"Enrolled",122.1,18
"Dropout",142.8,18
"Graduate",124.8,18
"Graduate",126.3,18
"Dropout",119,19
"Graduate",124.9,19
"Graduate",118,20
"Graduate",100,34
"Enrolled",109,39
"Graduate",130.8,19
"Graduate",110,24
"Dropout",151,18
"Dropout",131,19
"Graduate",155.2,18
"Enrolled",121,20
"Graduate",119.7,19
"Dropout",131,19
"Dropout",116.9,19
"Dropout",130,41
"Graduate",137.8,19
"Enrolled",122.1,19
"Dropout",120,23
"Dropout",133,18
"Graduate",115.2,19
"Graduate",160,20
"Dropout",106.3,35
"Dropout",103,34
"Graduate",136,19
"Graduate",146.5,22
"Graduate",131.4,20
"Enrolled",130,27
"Dropout",137,30
"Enrolled",125.9,34
"Dropout",111.9,20
"Graduate",131.2,18
"Dropout",131.2,26
"Graduate",140,26
"Dropout",121.5,26
"Dropout",153.5,31
"Graduate",142.2,20
"Graduate",131.1,19
"Dropout",130.6,23
"Dropout",115,20
"Graduate",125,20
"Dropout",97.5,29
"Graduate",134.4,20
"Graduate",118.8,24
"Dropout",110.5,37
"Dropout",123.3,18
"Dropout",139.6,18
"Graduate",138.8,18
"Enrolled",160,41
"Dropout",140,35
"Dropout",118.2,19
"Graduate",150.6,18
"Enrolled",115.2,48
"Graduate",126,19
"Dropout",160,30
"Dropout",160,51
"Graduate",184.4,18
"Graduate",156,18
"Graduate",150.2,18
"Graduate",126.3,18
"Dropout",146.1,18
"Enrolled",145.3,18
"Graduate",116.8,23
"Enrolled",132.1,19
"Enrolled",102.6,21
"Dropout",112.3,18
"Graduate",155.3,18
"Graduate",153.8,21
"Graduate",110,20
"Graduate",128.2,24
"Graduate",120.4,18
"Graduate",153,18
"Graduate",117.9,19
"Graduate",145.6,20
"Graduate",119.8,18
"Graduate",126.8,18
"Enrolled",106.1,19
"Graduate",137.3,19
"Graduate",115.5,18
"Graduate",127.5,20
"Graduate",116.3,18
"Dropout",113.2,18
"Graduate",132.6,18
"Graduate",132,18
"Graduate",130.3,18
"Graduate",116.7,20
"Graduate",134,22
"Enrolled",100,20
"Enrolled",140,20
"Graduate",139.2,18
"Enrolled",132.6,18
"Graduate",129.4,18
"Dropout",125.6,18
"Graduate",129.3,19
"Graduate",128.4,19
"Graduate",139.9,18
"Enrolled",124.8,18
"Graduate",128.5,18
"Graduate",117.8,18
"Graduate",115.1,19
"Graduate",118,18
"Graduate",120,25
"Graduate",119.6,19
"Graduate",133.2,18
"Graduate",141.8,19
"Graduate",130.3,18
"Dropout",100,24
"Graduate",114.6,21
"Graduate",123.4,18
"Graduate",116.4,18
"Graduate",123.2,20
"Graduate",123.7,19
"Dropout",127.6,19
"Graduate",117.1,30
"Graduate",149.3,18
"Graduate",125.6,18
"Graduate",145,18
"Graduate",115,20
"Dropout",114.3,19
"Dropout",126,19
"Dropout",124,19
"Graduate",122.6,18
"Enrolled",133.8,17
"Graduate",113.5,19
"Enrolled",122.6,18
"Graduate",140,25
"Dropout",107,19
"Enrolled",130,24
"Graduate",124.2,19
"Enrolled",125.8,20
"Graduate",108,20
"Graduate",115.2,20
"Graduate",129.3,19
"Graduate",120,31
"Graduate",116.7,20
"Enrolled",121,18
"Enrolled",128.2,18
"Graduate",121.1,18
"Enrolled",112.6,20
"Graduate",123.3,20
"Dropout",129.4,19
"Graduate",119.9,21
"Graduate",131.6,18
"Dropout",120,21
"Enrolled",110,19
"Graduate",143,20
"Enrolled",140,20
"Graduate",119.2,18
"Graduate",124.3,18
"Graduate",111.1,18
"Graduate",150,21
"Graduate",147.3,18
"Graduate",147.5,18
"Graduate",108,20
"Graduate",130,32
"Enrolled",130,34
"Graduate",109,23
"Enrolled",112,18
"Graduate",121.2,18
"Dropout",140,34
"Enrolled",119.5,25
"Graduate",125.9,21
"Dropout",121.5,20
"Graduate",121.5,18
"Graduate",132.4,18
"Graduate",122.4,18
"Dropout",110,24
"Graduate",120.4,32
"Dropout",105,24
"Dropout",137.8,18
"Graduate",118,28
"Dropout",122.1,18
"Dropout",140,24
"Graduate",143.2,19
"Graduate",120.5,44
"Graduate",119.5,18
"Graduate",147.5,18
"Dropout",129.6,22
"Graduate",126.1,18
"Graduate",160,44
"Dropout",105.5,33
"Dropout",95.5,32
"Dropout",107.5,35
"Graduate",106.1,20
"Graduate",116.3,24
"Graduate",137.4,19
"Enrolled",101.8,21
"Graduate",144.1,19
"Dropout",107.8,27
"Dropout",128.2,30
"Dropout",117,21
"Graduate",110.4,19
"Enrolled",170,34
"Graduate",100,18
"Graduate",117,21
"Enrolled",133.5,17
"Graduate",128,19
"Graduate",122.1,18
"Graduate",133.4,19
"Dropout",112,45
"Graduate",130,26
"Dropout",100,51
"Graduate",162,49
"Enrolled",153,22
"Dropout",131.4,22
"Dropout",128.2,33
"Graduate",148.9,20
"Graduate",128.4,18
"Dropout",120.3,20
"Graduate",100,37
"Graduate",126.1,18
"Graduate",111.7,19
"Graduate",140,21
"Graduate",122.2,20
"Dropout",118.7,19
"Dropout",121.5,20
"Graduate",134.5,18
"Graduate",127,19
"Graduate",114.2,18
"Graduate",125.3,18
"Dropout",120.4,18
"Enrolled",123,19
"Graduate",130.5,18
"Graduate",125.5,19
"Graduate",133.8,24
"Enrolled",150,20
"Graduate",130.5,21
"Dropout",140,20
"Graduate",119.4,19
"Graduate",121.3,19
"Graduate",126.3,18
"Graduate",111.6,19
"Graduate",111.3,21
"Graduate",122.5,19
"Graduate",116.5,18
"Graduate",132,17
"Enrolled",123.7,19
"Dropout",117,23
"Graduate",116.5,19
"Graduate",121.5,18
"Graduate",105,20
"Graduate",121.3,19
"Graduate",136.1,18
"Graduate",123.6,19
"Graduate",129,19
"Graduate",136.8,18
"Graduate",133.4,18
"Graduate",136,19
"Graduate",125.8,19
"Graduate",120.5,19
"Graduate",130.2,21
"Graduate",135.9,18
"Graduate",116.5,19
"Dropout",124,18
"Dropout",140,30
"Dropout",150.9,18
"Graduate",127.3,20
"Dropout",100,25
"Graduate",128.8,18
"Enrolled",119.7,21
"Graduate",140.8,18
"Graduate",138,18
"Dropout",132.9,29
"Graduate",140,20
"Dropout",140,26
"Graduate",99.3,21
"Graduate",119.3,19
"Dropout",113.2,19
"Enrolled",117,21
"Graduate",123,20
"Graduate",127.2,18
"Dropout",141,20
"Graduate",121.7,20
"Enrolled",121.1,18
"Enrolled",146.1,18
"Graduate",142.5,18
"Enrolled",126.8,18
"Graduate",150,22
"Enrolled",150,19
"Graduate",134.5,19
"Graduate",129.5,18
"Graduate",113.2,20
"Dropout",140.2,18
"Dropout",119.2,21
"Graduate",140.7,19
"Dropout",142.3,18
"Graduate",129.9,18
"Enrolled",134.8,18
"Dropout",104.1,21
"Graduate",122.4,19
"Graduate",120.6,19
"Dropout",112.4,19
"Graduate",157.9,18
"Dropout",125.9,19
"Dropout",118.4,20
"Dropout",130.8,18
"Dropout",176.7,19
"Graduate",156.8,18
"Enrolled",126.8,18
"Graduate",128,19
"Graduate",113.8,20
"Graduate",120.8,19
"Graduate",130.8,18
"Dropout",101,25
"Graduate",126.1,18
"Graduate",113.8,19
"Graduate",118.3,19
"Dropout",127.9,20
"Enrolled",131.1,18
"Graduate",117.9,20
"Graduate",115.7,21
"Graduate",141,19
"Graduate",120,42
"Enrolled",131.8,18
"Graduate",131.1,19
"Graduate",117.8,18
"Graduate",140,21
"Graduate",108,20
"Graduate",122.9,20
"Enrolled",130,21
"Graduate",126,19
"Graduate",134,21
"Graduate",134.3,19
"Graduate",138.7,19
"Enrolled",143.3,18
"Graduate",160,22
"Graduate",111,21
"Dropout",128.5,18
"Graduate",133,20
"Dropout",114.6,18
"Dropout",104.1,20
"Graduate",127.6,23
"Graduate",151,18
"Graduate",135.7,20
"Graduate",137.8,18
"Graduate",117.3,20
"Graduate",121.2,18
"Graduate",129.3,20
"Graduate",123,19
"Graduate",140,21
"Graduate",140,33
"Dropout",144.6,24
"Graduate",118.3,20
"Graduate",153.6,18
"Graduate",158.3,18
"Dropout",100,29
"Graduate",134.9,18
"Graduate",142,19
"Dropout",127.3,19
"Graduate",116.5,18
"Graduate",138.6,19
"Dropout",133,20
"Enrolled",136.2,19
"Graduate",118,19
"Enrolled",126.8,18
"Graduate",128.5,18
"Graduate",129.9,19
"Dropout",125.8,20
"Enrolled",129.3,18
"Dropout",124.7,18
"Dropout",154.9,35
"Enrolled",127.3,18
"Graduate",129,19
"Enrolled",98,19
"Enrolled",122,20
"Enrolled",112.5,19
"Dropout",127.3,19
"Dropout",100.5,24
"Dropout",122,29
"Graduate",140,24
"Graduate",116.1,19
"Dropout",130,37
"Graduate",146.2,18
"Enrolled",180,20
"Dropout",127.8,18
"Enrolled",130.8,22
"Enrolled",109,22
"Dropout",132.4,18
"Graduate",129.3,18
"Graduate",125.4,19
"Enrolled",130.2,19
"Dropout",132,19
"Graduate",170,21
"Enrolled",130.2,19
"Graduate",115.5,18
"Dropout",127.6,19
"Graduate",140,25
"Graduate",120.2,22
"Graduate",150,24
"Graduate",100,19
"Enrolled",100,18
"Dropout",128,20
"Graduate",128,19
"Dropout",107.2,19
"Graduate",110.1,19
"Dropout",119,23
"Dropout",155.5,47
"Graduate",118.4,19
"Graduate",141.2,19
"Dropout",119.1,18
"Dropout",111,28
"Dropout",138.6,20
"Enrolled",121.2,18
"Graduate",150.4,21
"Enrolled",117.8,19
"Dropout",102.5,24
"Enrolled",110,24
"Enrolled",138.3,25
"Graduate",122.3,28
"Enrolled",127.8,37
"Enrolled",100,19
"Graduate",126.4,18
"Dropout",100,48
"Graduate",117.1,21
"Enrolled",124.7,19
"Enrolled",124.1,21
"Dropout",129.4,23
"Graduate",138.9,18
"Dropout",138.6,22
"Dropout",133.9,25
"Dropout",140,27
"Dropout",95.1,49
"Dropout",128.2,31
"Dropout",121.5,54
"Dropout",120,25
"Enrolled",130,20
"Dropout",120,28
"Graduate",107,41
"Enrolled",116.1,19
"Dropout",114.4,22
"Dropout",157.7,34
"Dropout",150,28
"Enrolled",114.3,42
"Enrolled",104.6,21
"Dropout",140,50
"Dropout",109.1,19
"Dropout",120.6,18
"Dropout",161.9,59
"Dropout",140,33
"Graduate",178,23
"Dropout",138.3,44
"Dropout",128,37
"Dropout",139,36
"Dropout",113.2,22
"Graduate",139,49
"Graduate",110,23
"Enrolled",136.6,19
"Dropout",161.1,47
"Graduate",130,28
"Enrolled",140,21
"Dropout",121,21
"Graduate",118.6,21
"Enrolled",138.3,20
"Dropout",115.8,49
"Graduate",160,40
"Graduate",114.5,22
"Enrolled",117.5,19
"Dropout",121.7,31
"Dropout",115,30
"Graduate",125.3,19
"Dropout",131,22
"Graduate",126.3,19
"Dropout",127.1,21
"Graduate",138.4,19
"Dropout",100,22
"Graduate",126.2,22
"Graduate",118.8,19
"Dropout",124.5,26
"Enrolled",140,23
"Enrolled",125.1,18
"Enrolled",118.8,22
"Enrolled",125.2,19
"Dropout",95,20
"Enrolled",107.6,22
"Dropout",140,18
"Dropout",125.4,39
"Dropout",128,18
"Graduate",129.3,18
"Graduate",152,19
"Graduate",128.8,18
"Dropout",152.8,18
"Graduate",150,22
"Graduate",112,19
"Dropout",135.6,18
"Dropout",134.4,31
"Dropout",120.5,28
"Dropout",141.4,19
"Graduate",145.2,20
"Dropout",140,50
"Enrolled",100,38
"Dropout",140,31
"Enrolled",126,27
"Graduate",112.6,21
"Dropout",106.8,34
"Enrolled",121.6,19
"Dropout",120,40
"Graduate",160.6,18
"Dropout",130,46
"Dropout",110,37
"Dropout",110,31
"Graduate",145.8,34
"Dropout",130.2,18
"Graduate",122.3,18
"Graduate",125.4,19
"Dropout",130,40
"Dropout",150,25
"Dropout",116.9,20
"Enrolled",114.7,20
"Dropout",95.8,43
"Enrolled",133.1,18
"Graduate",150,35
"Graduate",118.5,23
"Graduate",131.1,19
"Graduate",150.3,21
"Enrolled",120.5,19
"Graduate",105.6,20
"Dropout",125.3,30
"Graduate",131,44
"Graduate",127,19
"Graduate",150,22
"Graduate",149.2,18
"Graduate",121.5,21
"Dropout",137.3,18
"Graduate",119.6,18
"Graduate",141.5,19
"Dropout",150,21
"Graduate",110,31
"Dropout",110.2,21
"Enrolled",110.3,24
"Dropout",120,27
"Graduate",114.2,20
"Enrolled",140,22
"Enrolled",132.8,19
"Graduate",121.5,19
"Enrolled",127.2,23
"Graduate",128.2,18
"Enrolled",133.4,29
"Dropout",120,29
"Enrolled",140,20
"Graduate",136.9,19
"Enrolled",117,22
"Enrolled",110.7,20
"Enrolled",160,24
"Dropout",95,21
"Graduate",148.8,25
"Dropout",110,32
"Dropout",133.9,26
"Graduate",125.7,18
"Graduate",116.6,19
"Graduate",141,19
"Dropout",130,27
"Enrolled",130,21
"Enrolled",115.8,20
"Graduate",140,21
"Enrolled",126.1,22
"Graduate",137.5,19
"Dropout",120.8,18
"Dropout",136.5,28
"Dropout",122,25
"Dropout",130,25
"Enrolled",126.3,18
"Dropout",98,26
"Graduate",121,18
"Enrolled",124.2,22
"Dropout",130,25
"Enrolled",136.1,19
"Graduate",132.8,19
"Graduate",126.3,19
"Dropout",111.5,45
"Graduate",118.2,52
"Dropout",115.6,20
"Graduate",117.8,19
"Dropout",127,21
"Graduate",140,35
"Graduate",106,36
"Dropout",151,47
"Dropout",106.4,22
"Dropout",125.3,41
"Dropout",130,26
"Dropout",116,51
"Enrolled",120,43
"Graduate",100,41
"Graduate",118.5,23
"Dropout",118.9,22
"Dropout",119.3,25
"Graduate",135.8,25
"Graduate",130,22
"Enrolled",129.8,24
"Dropout",150,47
"Dropout",111.9,41
"Graduate",150.1,43
"Dropout",130,29
"Dropout",128,30
